Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
02198263279373;Courbe de charge;21/12/2022;20/08/2023;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2022-12-21T01:00:00+01:00;157
2022-12-21T02:00:00+01:00;114
2022-12-21T03:00:00+01:00;758
2022-12-21T04:00:00+01:00;238
2022-12-21T05:00:00+01:00;267
2022-12-21T06:00:00+01:00;72
2022-12-21T07:00:00+01:00;217
2022-12-21T08:00:00+01:00;178
2022-12-21T09:00:00+01:00;576
2022-12-21T10:00:00+01:00;591
2022-12-21T11:00:00+01:00;637
2022-12-21T12:00:00+01:00;707
2022-12-21T13:00:00+01:00;944
2022-12-21T14:00:00+01:00;599
2022-12-21T15:00:00+01:00;636
2022-12-21T16:00:00+01:00;612
2022-12-21T17:00:00+01:00;1102
2022-12-21T18:00:00+01:00;736
2022-12-21T19:00:00+01:00;510
2022-12-21T20:00:00+01:00;1034
2022-12-21T21:00:00+01:00;2361
2022-12-21T22:00:00+01:00;1727
2022-12-21T23:00:00+01:00;1115
2022-12-22T00:00:00+01:00;683
2022-12-22T01:00:00+01:00;790
2022-12-22T02:00:00+01:00;560
2022-12-22T03:00:00+01:00;151
2022-12-22T04:00:00+01:00;156
2022-12-22T05:00:00+01:00;65
2022-12-22T06:00:00+01:00;67
2022-12-22T07:00:00+01:00;671
2022-12-22T08:00:00+01:00;466
2022-12-22T09:00:00+01:00;521
2022-12-22T10:00:00+01:00;703
2022-12-22T11:00:00+01:00;762
2022-12-22T12:00:00+01:00;763
2022-12-22T13:00:00+01:00;1349
2022-12-22T14:00:00+01:00;1058
2022-12-22T15:00:00+01:00;473
2022-12-22T16:00:00+01:00;543
2022-12-22T17:00:00+01:00;456
2022-12-22T18:00:00+01:00;412
2022-12-22T19:00:00+01:00;451
2022-12-22T20:00:00+01:00;431
2022-12-22T21:00:00+01:00;1791
2022-12-22T22:00:00+01:00;1095
2022-12-22T23:00:00+01:00;929
2022-12-23T00:00:00+01:00;264
2022-12-23T01:00:00+01:00;198
2022-12-23T02:00:00+01:00;181
2022-12-23T03:00:00+01:00;166
2022-12-23T04:00:00+01:00;305
2022-12-23T05:00:00+01:00;377
2022-12-23T06:00:00+01:00;144
2022-12-23T07:00:00+01:00;824
2022-12-23T08:00:00+01:00;514
2022-12-23T09:00:00+01:00;520
2022-12-23T10:00:00+01:00;481
2022-12-23T11:00:00+01:00;547
2022-12-23T12:00:00+01:00;357
2022-12-23T13:00:00+01:00;445
2022-12-23T14:00:00+01:00;855
2022-12-23T15:00:00+01:00;390
2022-12-23T16:00:00+01:00;360
2022-12-23T17:00:00+01:00;82
2022-12-23T18:00:00+01:00;32
2022-12-23T19:00:00+01:00;33
2022-12-23T20:00:00+01:00;46
2022-12-23T21:00:00+01:00;1315
2022-12-23T22:00:00+01:00;1010
2022-12-23T23:00:00+01:00;441
2022-12-24T00:00:00+01:00;329
2022-12-24T01:00:00+01:00;259
2022-12-24T02:00:00+01:00;149
2022-12-24T03:00:00+01:00;117
2022-12-24T04:00:00+01:00;158
2022-12-24T05:00:00+01:00;71
2022-12-24T06:00:00+01:00;76
2022-12-24T07:00:00+01:00;74
2022-12-24T08:00:00+01:00;76
2022-12-24T09:00:00+01:00;74
2022-12-24T10:00:00+01:00;69
2022-12-24T11:00:00+01:00;74
2022-12-24T12:00:00+01:00;63
2022-12-24T13:00:00+01:00;63
2022-12-24T14:00:00+01:00;63
2022-12-24T15:00:00+01:00;61
2022-12-24T16:00:00+01:00;62
2022-12-24T17:00:00+01:00;62
2022-12-24T18:00:00+01:00;60
2022-12-24T19:00:00+01:00;63
2022-12-24T20:00:00+01:00;66
2022-12-24T21:00:00+01:00;540
2022-12-24T22:00:00+01:00;341
2022-12-24T23:00:00+01:00;177
2022-12-25T00:00:00+01:00;340
2022-12-25T01:00:00+01:00;77
2022-12-25T02:00:00+01:00;164
2022-12-25T03:00:00+01:00;160
2022-12-25T04:00:00+01:00;71
2022-12-25T05:00:00+01:00;160
2022-12-25T06:00:00+01:00;74
2022-12-25T07:00:00+01:00;71
2022-12-25T08:00:00+01:00;76
2022-12-25T09:00:00+01:00;67
2022-12-25T10:00:00+01:00;73
2022-12-25T11:00:00+01:00;275
2022-12-25T12:00:00+01:00;1113
2022-12-25T13:00:00+01:00;515
2022-12-25T14:00:00+01:00;304
2022-12-25T15:00:00+01:00;34
2022-12-25T16:00:00+01:00;32
2022-12-25T17:00:00+01:00;32
2022-12-25T18:00:00+01:00;31
2022-12-25T19:00:00+01:00;32
2022-12-25T20:00:00+01:00;32
2022-12-25T21:00:00+01:00;32
2022-12-25T22:00:00+01:00;31
2022-12-25T23:00:00+01:00;32
2022-12-26T00:00:00+01:00;32
2022-12-26T01:00:00+01:00;29
2022-12-26T02:00:00+01:00;29
2022-12-26T03:00:00+01:00;28
2022-12-26T04:00:00+01:00;32
2022-12-26T05:00:00+01:00;32
2022-12-26T06:00:00+01:00;31
2022-12-26T07:00:00+01:00;32
2022-12-26T08:00:00+01:00;32
